Latitude,Longitude,ID,Title,Description,Group,Timed ,Campus,Zone,Location,Get to Know Rutgers,Experience the Arts & Humanities,Science & Technology,All Things Green,Health and Wellness,Business and Careers,Sports and Recreation,Kids Stuff,Alumni
40.498857,-74.445787,81,(9:30 a.m.) A Conversation with the Chancellor,"Join Richard Edwards, chancellor of Rutgers-New Brunswick, at 9:30 a.m. as he discusses the historic developments taking shape at Rutgers and answers your questions about the opportunities and challenges facing the university today. Register today: Ralumni.com/15AlumniWeekend",Rutgers University Alumni Association,yes,College Avenue,Old Queens Area,Kirkpatrick Chapel,no,no,no,no,no,no,no,no,yes
40.50325,-74.45289,82,(9 a.m.) Alumni Continental Breakfast,"Jump-start your day by sharing a morning meal with classmates at 9 a.m., then head over to the gym to pick up your class banner and prepare for the All-Alumni Parade. Registration required: Ralumni.com/15AlumniWeekend",Rutgers University Alumni Association,yes,College Avenue,Student Center Area,College Avenue Gym,no,no,no,no,no,no,no,no,yes
40.500809,-74.447768,86,Drawing Marathon,Leave your mark on Rutgers Day at our ever-evolving mural.,Department of Visual Arts,no,College Avenue,,,Yes,Yes,no,no,no,no,no,Yes,no
40.503039,-74.452005,87,"Today's Treatments, Tomorrow's Cures",Learn about our research and programs. See how precision medicine is changing the way we fight cancer.,Rutgers Cancer Institute of New Jersey,no,College Avenue,Student Center Area,,Yes,no,Yes,no,Yes,no,no,no,no
40.501052,-74.447946,90,Fromage Frenzy,Challenge your palate at our French cheese-tasting test.,Department of French,no,College Avenue,Voorhees Mall Area,,Yes,Yes,no,no,no,no,no,no,no
40.502952,-74.450361,91,Rutgers Ronald McDonald House Club,Celebrate the founding of the club and the 10th anniversary of the New Brunswick Ronald McDonald House.,Rutgers Ronald McDonald House Club,no,College Avenue,Bishop House Area,,Yes,no,no,no,Yes,no,no,no,no
40.502882,74.450379,92,Popsicle Stick Harmonicas,Come make a homemade popsicle stick harmonica with the PCRF-RU team!,Palestine Children's Relief Fund,no,College Avenue,Bishop House Area,,Yes,no,no,no,no,no,no,Yes,no
40.500947,-74.446991,98,Short Films Showcase,View short animations created by club members.,Rutgers Animation Club,no,College Avenue,Voorhees Mall Area,"Milledoler Hall, room 100",Yes,Yes,no,no,no,no,no,Yes,no
40.502901,-74.451828,112,Stroke Smart,Learn about stroke and how the acronym FAST can save a life.,"Department of Neurology, Robert Wood Johnson Medical School",no,College Avenue,Student Center Area,,Yes,no,Yes,no,Yes,no,no,no,no
40.499518,-74.446667,113,Walk the Red Carpet,"Have your photo taken on the red carpet--with an Emmy! Student filmmakers screen their latest projects, too.",Rutgers Center for Digital Filmmaking,no,College Avenue,Voorhees Mall Area,,Yes,Yes,no,no,no,no,no,no,no
40.499749,-74.446456,115,(10:30 a.m.; 12 p.m.; 1:30 p.) Puppet Stories,Join us for a live puppet show and create your own puppet character.,Department of English,yes,College Avenue,Voorhees Mall Area,Front of Voorhees Hall,Yes,Yes,no,no,no,no,no,Yes,no
40.50113,-74.448094,116,Marathon Reading of Charlotte's Web,Listen or take a turn in this continuous reading of E.B. White's beloved tale.,Department of English,no,College Avenue,Voorhees Mall Area,"Linguistics House, lawn",Yes,Yes,no,no,no,no,no,Yes,no
40.500017,-74.447008,119,Sand Art and Stress Relief,"Create a sand art bottle, or spin the wheel for stress-reduction tips and giveaways.",School of Social Work,no,College Avenue,Voorhees Mall Area,,Yes,Yes,no,no,no,no,no,Yes,no
40.500472,-74.447177,138,Big Ten Tent,What does the Big Ten mean to Rutgers? Look and learn! Complete a quiz and win a prize!,Office of Community Affairs,no,College Avenue,Voorhees Mall Area,,Yes,Yes,no,no,no,no,Yes,Yes,no
40.503965,-74.452769,139,(11 a.m.) Rutgers Day and Alumni Parade,Watch the parade march down College Avenue and through Voorhees Mall.,Office of Community Affairs,yes,College Avenue,Student Center Area,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,yes
